,0.4_240.0_stress_x,0.4_240.0_stress_y,0.4_240.0_180.0_stress_x,0.4_240.0_180.0_stress_y,0.5_240.0_stress_x,0.5_240.0_stress_y,0.5_240.0_180.0_stress_x,0.5_240.0_180.0_stress_y,0.55_240.0_stress_x,0.55_240.0_stress_y,0.55_240.0_180.0_stress_x,0.55_240.0_180.0_stress_y,0.6_240.0_stress_x,0.6_240.0_stress_y,0.6_240.0_180.0_stress_x,0.6_240.0_180.0_stress_y,0.7_240.0_stress_x,0.7_240.0_stress_y,0.7_240.0_180.0_stress_x,0.7_240.0_180.0_stress_y,0.8_240.0_stress_x,0.8_240.0_stress_y,0.8_240.0_180.0_stress_x,0.8_240.0_180.0_stress_y,1.51_240.0_stress_x,1.51_240.0_stress_y,1.51_240.0_180.0_stress_x,1.51_240.0_180.0_stress_y
0,0.0,489.2575630810862,0.0,715.4486147480822,0.0,518.6839616437777,0.0,748.6211273824695,0.0,529.371615345382,0.0,760.7344398248292,0.0,538.2738597663958,0.0,770.8288511314787,0.0,552.224043417936,0.0,786.6798462661425,0.0,562.6926226115015,0.0,798.555814486383,0,597.0992537926945,0,837.5984757101726
1,1.0,429.62945987341425,1.0,590.2968812739628,1.0,459.02079903597144,1.0,623.6396843242513,1.0,469.67254195459674,1.0,635.7102330460059,1.0,478.3588990685855,1.0,645.7811867806843,1.0,492.5619877598084,1.0,661.7692466881157,1.0,502.9555847135174,1.0,673.525473229802,1,537.1819583888541,1,712.5651294966814
2,2.0,373.6688827147867,2.0,465.6697450158692,2.0,402.9933884880925,2.0,498.99516587336154,2.0,413.6712959754964,2.0,511.0768914353304,2.0,422.4375876923283,2.0,521.1289600700178,2.0,436.5902336580451,2.0,537.0976945552962,2.0,447.04483719549694,2.0,548.7800861180733,2,481.28776634286714,2,587.2136351912271
3,3.0,325.40631578909864,3.0,354.0023560594,3.0,354.72150805275135,3.0,387.0601011296243,3.0,365.4252116357063,3.0,399.15663976700284,3.0,374.39410220420507,3.0,409.2236274314165,3.0,388.3373334480276,3.0,425.08021108077065,3.0,398.8919572783742,3.0,436.85841052856614,3,433.2509670952045,3,475.46283480004575
4,4.0,287.0240841281593,4.0,264.80179589072793,4.0,316.41962249248314,4.0,297.6578416753295,4.0,327.1142917378553,4.0,309.77181596404483,4.0,336.14435302381,4.0,319.87595421637315,4.0,349.9798961881119,4.0,335.68029056877015,4.0,360.5427378634951,4.0,347.6177003989353,4,394.9359127538091,4,386.74383418583454
5,5.0,258.7405118504962,5.0,201.12325364512975,5.0,288.21686409707195,5.0,233.9348014324953,5.0,298.8916451753216,5.0,246.04467422690374,5.0,307.86743088322896,5.0,256.1613808809861,5.0,321.7171966419977,5.0,271.952428410454,5.0,332.22489667240154,5.0,283.9409423508945,5,366.5845492319895,5,323.2447980765081
6,6.0,239.16844100763947,6.0,159.71200286767967,6.0,268.67350282088796,6.0,192.54008568229767,6.0,279.3355882912228,6.0,204.6391386523841,6.0,288.25362990453954,6.0,214.74592138120857,6.0,302.15064009441164,6.0,230.54844639308322,6.0,312.6095443430176,6.0,242.5003071273606,6,346.94021176194457,6,281.71363254466166
7,7.0,226.10263467894785,7.0,134.37528120059613,7.0,255.59705121246128,7.0,167.20484089847588,7.0,266.2550818740352,7.0,179.299150721283,7.0,275.15195478506945,7.0,189.3935332357429,7.0,289.0788590006435,7.0,205.2147420528411,7.0,299.5199157672409,7.0,217.12156396259286,7,333.8519337779908,7,256.2189117841017
8,8.0,217.31717091486783,8.0,119.24045059451252,8.0,246.7928526608021,8.0,152.04299034346252,8.0,257.4507784791603,8.0,164.13692622845448,8.0,266.3479612966618,8.0,174.22469570403177,8.0,280.2852839816434,8.0,190.0588325734912,8.0,290.7260780611551,8.0,201.9439660831717,8,325.076889794645,8,240.98417354909213
9,9.0,211.05140063616193,9.0,110.10895185748254,9.0,240.51688320259618,9.0,142.8681857329453,9.0,251.17497971908824,9.0,154.96220006174417,9.0,260.0751081636267,9.0,165.04792468993352,9.0,274.0145187141364,9.0,180.88736184472774,9.0,284.45645747642266,9.0,192.76909546855475,9,318.8273255356294,9,231.79605301069645
10,10.0,206.13431030745934,10.0,104.39156088228499,10.0,235.59904006462696,10.0,137.10278224367752,10.0,246.25635643918528,10.0,149.196079380507,10.0,255.15555519119542,10.0,159.28157432652952,10.0,269.09578626154735,10.0,175.1219152309312,10.0,279.5346847306476,10.0,187.00724505653267,10,313.92012708291253,10,226.037403087536
11,11.0,201.8852609478519,11.0,100.5964039605613,11.0,231.35394801310588,11.0,133.2602141906621,11.0,242.00972858952426,11.0,145.35218115473236,11.0,250.90498862649645,11.0,155.43775526452114,11.0,264.84681520274444,11.0,171.27741945557563,11.0,275.27964876481656,11.0,183.16710118991642,11,309.67394718736085,11,222.20279386762837
