"# Depth/um	Stress/MPa	Orihara Stress Fit/Mpa"
"0.00	781.95	204.70"
"0.50	729.71	202.84"
"1.00	678.02	200.98"
"1.50	627.39	199.12"
"2.00	578.34	197.26"
"2.50	531.30	195.40"
"3.00	486.65	193.54"
"3.50	444.72	191.69"
"4.00	405.74	189.84"
"4.50	369.88	187.99"
"5.00	337.22	186.14"
"5.50	307.76	184.30"
"6.00	281.46	182.46"
"6.50	258.21	180.63"
"7.00	237.85	178.80"
"7.50	220.18	176.97"
"8.00	204.97	175.15"
"8.50	192.00	173.34"
"9.00	181.01	171.53"
"9.50	171.77	169.73"
"10.00	164.04	167.94"
"10.50	157.61	166.15"
"11.00	152.26	164.37"
"11.50	147.82	162.60"
"12.00	144.13	160.83"
"12.50	141.04	159.07"
"13.00	138.43	157.33"
"13.50	136.21	155.59"
"14.00	134.30	153.85"
"14.50	132.61	152.13"
"15.00	131.10	150.42"
"15.50	129.73	148.72"
"16.00	128.46	147.02"
"16.50	127.26	145.34"
"17.00	126.12	143.67"
"17.50	125.01	142.00"
"18.00	123.94	140.35"
"18.50	122.88	138.71"
"19.00	121.84	137.08"
"19.50	120.81	135.46"
"20.00	119.79	133.85"
"20.50	118.77	132.26"
"21.00	117.76	130.67"
"21.50	116.75	129.10"
"22.00	115.74	127.54"
"22.50	114.73	125.99"
"23.00	113.73	124.46"
"23.50	112.72	122.93"
"24.00	111.72	121.42"
"24.50	110.72	119.92"
"25.00	109.72	118.43"
"25.50	108.73	116.96"
"26.00	107.73	115.50"
"26.50	106.74	114.05"
"27.00	105.75	112.61"
"27.50	104.76	111.19"
"28.00	103.77	109.78"
"28.50	102.78	108.38"
"29.00	101.79	107.00"
"29.50	100.81	105.63"
"30.00	99.83	104.27"
"30.50	98.84	102.92"
"31.00	97.87	101.59"
"31.50	96.89	100.27"
"32.00	95.91	98.96"
"32.50	94.94	97.67"
"33.00	93.96	96.39"
"33.50	92.99	95.12"
"34.00	92.03	93.86"
"34.50	91.06	92.62"
"35.00	90.09	91.39"
"35.50	89.13	90.17"
"36.00	88.17	88.96"
"36.50	87.21	87.77"
"37.00	86.25	86.59"
"37.50	85.30	85.42"
"38.00	84.35	84.26"
"38.50	83.40	83.11"
"39.00	82.45	81.98"
"39.50	81.50	80.86"
"40.00	80.55	79.75"
"40.50	79.61	78.65"
"41.00	78.67	77.56"
"41.50	77.73	76.48"
"42.00	76.80	75.42"
"42.50	75.86	74.36"
"43.00	74.93	73.32"
"43.50	74.00	72.29"
"44.00	73.08	71.26"
"44.50	72.15	70.25"
"45.00	71.23	69.25"
"45.50	70.31	68.26"
"46.00	69.39	67.28"
"46.50	68.48	66.30"
"47.00	67.57	65.34"
"47.50	66.66	64.39"
"48.00	65.75	63.45"
"48.50	64.84	62.51"
"49.00	63.94	61.59"
"49.50	63.04	60.67"
"50.00	62.14	59.77"
"50.50	61.25	58.87"
"51.00	60.35	57.98"
"51.50	59.46	57.10"
"52.00	58.58	56.23"
"52.50	57.69	55.36"
"53.00	56.81	54.51"
"53.50	55.93	53.66"
"54.00	55.05	52.82"
"54.50	54.18	51.98"
"55.00	53.31	51.16"
"55.50	52.44	50.34"
"56.00	51.57	49.53"
"56.50	50.71	48.72"
"57.00	49.85	47.93"
"57.50	48.99	47.14"
"58.00	48.14	46.35"
"58.50	47.29	45.57"
"59.00	46.44	44.80"
"59.50	45.59	44.04"
"60.00	44.75	43.28"
"60.50	43.91	42.52"
"61.00	43.07	41.78"
"61.50	42.23	41.04"
"62.00	41.40	40.30"
"62.50	40.57	39.57"
"63.00	39.75	38.84"
"63.50	38.92	38.12"
"64.00	38.10	37.41"
"64.50	37.29	36.70"
"65.00	36.47	36.00"
"65.50	35.66	35.30"
"66.00	34.85	34.60"
"66.50	34.05	33.91"
"67.00	33.25	33.23"
"67.50	32.45	32.54"
"68.00	31.65	31.87"
"68.50	30.86	31.19"
"69.00	30.07	30.53"
"69.50	29.28	29.86"
"70.00	28.50	29.20"
"70.50	27.72	28.55"
"71.00	26.94	27.89"
"71.50	26.17	27.24"
"72.00	25.40	26.60"
"72.50	24.63	25.96"
"73.00	23.87	25.32"
"73.50	23.10	24.69"
"74.00	22.35	24.06"
"74.50	21.59	23.43"
"75.00	20.84	22.81"
"75.50	20.09	22.19"
"76.00	19.34	21.57"
"76.50	18.60	20.95"
"77.00	17.86	20.34"
"77.50	17.13	19.74"
"78.00	16.40	19.13"
"78.50	15.67	18.53"
"79.00	14.94	17.93"
"79.50	14.22	17.33"
"80.00	13.50	16.74"
"80.50	12.78	16.15"
"81.00	12.07	15.56"
"81.50	11.36	14.98"
"82.00	10.65	14.40"
"82.50	9.95	13.82"
"83.00	9.25	13.24"
"83.50	8.55	12.67"
"84.00	7.86	12.09"
"84.50	7.17	11.52"
"85.00	6.48	10.96"
"85.50	5.80	10.39"
"86.00	5.12	9.83"
"86.50	4.44	9.27"
"87.00	3.77	8.72"
"87.50	3.10	8.16"
"88.00	2.43	7.61"
"88.50	1.77	7.06"
"89.00	1.11	6.51"
"89.50	0.45	5.97"
"90.00	-0.20	5.42"
"90.50	-0.85	4.88"
"91.00	-1.50	4.34"
"91.50	-2.14	3.81"
"92.00	-2.78	3.27"
"92.50	-3.42	2.74"
"93.00	-4.05	2.21"
"93.50	-4.68	1.68"
"94.00	-5.31	1.16"
"94.50	-5.93	0.64"
"95.00	-6.55	0.11"
"95.50	-7.17	-0.40"
"96.00	-7.78	-0.92"
"96.50	-8.39	-1.44"
"97.00	-8.99	-1.95"
"97.50	-9.60	-2.46"
"98.00	-10.20	-2.97"
"98.50	-10.79	-3.47"
"99.00	-11.39	-3.98"
"99.50	-11.98	-4.48"
"100.00	-12.56	-4.98"
"100.50	-13.15	-5.48"
"101.00	-13.73	-5.97"
"101.50	-14.30	-6.47"
"102.00	-14.88	-6.96"
"102.50	-15.45	-7.45"
"103.00	-16.01	-7.94"
"103.50	-16.58	-8.42"
"104.00	-17.14	-8.91"
"104.50	-17.69	-9.39"
"105.00	-18.25	-9.87"
"105.50	-18.80	-10.35"
"106.00	-19.34	-10.82"
"106.50	-19.89	-11.30"
"107.00	-20.43	-11.77"
"107.50	-20.96	-12.24"
"108.00	-21.50	-12.71"
"108.50	-22.03	-13.17"
"109.00	-22.55	-13.64"
"109.50	-23.08	-14.10"
"110.00	-23.60	-14.56"
"110.50	-24.11	-15.02"
"111.00	-24.63	-15.47"
"111.50	-25.14	-15.93"
"112.00	-25.65	-16.38"
"112.50	-26.15	-16.83"
"113.00	-26.65	-17.28"
"113.50	-27.15	-17.72"
"114.00	-27.65	-18.17"
"114.50	-28.14	-18.61"
"115.00	-28.62	-19.05"
"115.50	-29.11	-19.49"
"116.00	-29.59	-19.92"
"116.50	-30.07	-20.36"
"117.00	-30.55	-20.79"
"117.50	-31.02	-21.22"
"118.00	-31.49	-21.65"
"118.50	-31.95	-22.07"
"119.00	-32.42	-22.50"
"119.50	-32.88	-22.92"
"120.00	-33.33	-23.34"
"120.50	-33.79	-23.76"
"121.00	-34.24	-24.17"
"121.50	-34.68	-24.59"
"122.00	-35.13	-25.00"
"122.50	-35.57	-25.41"
"123.00	-36.01	-25.82"
"123.50	-36.44	-26.23"
"124.00	-36.88	-26.63"
"124.50	-37.30	-27.03"
"125.00	-37.73	-27.43"
"125.50	-38.15	-27.83"
"126.00	-38.57	-28.23"
"126.50	-38.99	-28.62"
"127.00	-39.40	-29.02"
"127.50	-39.82	-29.41"
"128.00	-40.22	-29.80"
"128.50	-40.63	-30.18"
"129.00	-41.03	-30.57"
"129.50	-41.43	-30.95"
"130.00	-41.83	-31.33"
"130.50	-42.22	-31.71"
"131.00	-42.61	-32.09"
"131.50	-43.00	-32.46"
"132.00	-43.38	-32.84"
"132.50	-43.76	-33.21"
"133.00	-44.14	-33.58"
"133.50	-44.52	-33.95"
"134.00	-44.89	-34.31"
"134.50	-45.26	-34.68"
"135.00	-45.63	-35.04"
"135.50	-45.99	-35.40"
"136.00	-46.36	-35.75"
"136.50	-46.72	-36.11"
"137.00	-47.07	-36.46"
