,stress_x,stress_y
0,0.0,781.95
1,0.5,729.71
2,1.0,678.02
3,1.5,627.39
4,2.0,578.34
5,2.5,531.3
6,3.0,486.65
7,3.5,444.72
8,4.0,405.74
9,4.5,369.88
10,5.0,337.22
11,5.5,307.76
12,6.0,281.46
13,6.5,258.21
14,7.0,237.85
15,7.5,220.18
16,8.0,204.97
17,8.5,192.0
18,9.0,181.01
19,9.5,171.77
20,10.0,164.04
21,10.5,157.61
22,11.0,152.26
23,11.5,147.82
24,12.0,144.13
25,12.5,141.04
26,13.0,138.43
27,13.5,136.21
28,14.0,134.3
29,14.5,132.61
30,15.0,131.1
31,15.5,129.73
32,16.0,128.46
33,16.5,127.26
34,17.0,126.12
35,17.5,125.01
36,18.0,123.94
37,18.5,122.88
38,19.0,121.84
39,19.5,120.81
40,20.0,119.79
41,20.5,118.77
42,21.0,117.76
43,21.5,116.75
44,22.0,115.74
45,22.5,114.73
46,23.0,113.73
47,23.5,112.72
48,24.0,111.72
49,24.5,110.72
50,25.0,109.72
51,25.5,108.73
52,26.0,107.73
53,26.5,106.74
54,27.0,105.75
55,27.5,104.76
56,28.0,103.77
57,28.5,102.78
58,29.0,101.79
59,29.5,100.81
60,30.0,99.83
61,30.5,98.84
62,31.0,97.87
63,31.5,96.89
64,32.0,95.91
65,32.5,94.94
66,33.0,93.96
67,33.5,92.99
68,34.0,92.03
69,34.5,91.06
70,35.0,90.09
71,35.5,89.13
72,36.0,88.17
73,36.5,87.21
74,37.0,86.25
75,37.5,85.3
76,38.0,84.35
77,38.5,83.4
78,39.0,82.45
79,39.5,81.5
80,40.0,80.55
81,40.5,79.61
82,41.0,78.67
83,41.5,77.73
84,42.0,76.8
85,42.5,75.86
86,43.0,74.93
87,43.5,74.0
88,44.0,73.08
89,44.5,72.15
90,45.0,71.23
91,45.5,70.31
92,46.0,69.39
93,46.5,68.48
94,47.0,67.57
95,47.5,66.66
96,48.0,65.75
97,48.5,64.84
98,49.0,63.94
99,49.5,63.04
100,50.0,62.14
101,50.5,61.25
102,51.0,60.35
103,51.5,59.46
104,52.0,58.58
105,52.5,57.69
106,53.0,56.81
107,53.5,55.93
108,54.0,55.05
109,54.5,54.18
110,55.0,53.31
111,55.5,52.44
112,56.0,51.57
113,56.5,50.71
114,57.0,49.85
115,57.5,48.99
116,58.0,48.14
117,58.5,47.29
118,59.0,46.44
