stress_x,stress_y
0,854.32
0.5,799.39
1,745.14
1.5,692.23
2,641.27
2.5,592.79
3,547.24
3.5,504.98
4,466.24
4.5,431.16
5,399.79
5.5,372.06
6,347.84
6.5,326.94
7,309.09
7.5,294.02
8,281.44
8.5,271.02
9,262.47
9.5,255.51
10,249.88
10.5,245.34
11,241.68
11.5,238.72
12,236.32
12.5,234.35
13,232.71
13.5,231.31
14,230.09
14.5,229.01
15,228.03
15.5,227.11
16,226.25
16.5,225.41
17,224.6
17.5,223.81
18,223.03
18.5,222.25
19,221.48
19.5,220.71
20,219.94
20.5,219.18
21,218.41
21.5,217.65
22,216.89
22.5,216.12
23,215.36
23.5,214.6
24,213.84
24.5,213.08
25,212.32
25.5,211.56
26,210.8
26.5,210.04
27,209.28
27.5,208.52
28,207.76
28.5,207
29,206.24
29.5,205.49
30,204.73
30.5,203.98
31,203.22
31.5,202.46
32,201.71
32.5,200.96
33,200.2
33.5,199.45
34,198.7
34.5,197.94
35,197.19
35.5,196.44
36,195.69
36.5,194.94
37,194.19
37.5,193.44
38,192.69
38.5,191.95
39,191.2
39.5,190.45
40,189.71
40.5,188.96
41,188.22
41.5,187.47
42,186.73
42.5,185.99
43,185.24
43.5,184.5
44,183.76
44.5,183.02
45,182.28
45.5,181.54
46,180.8
46.5,180.07
47,179.33
47.5,178.59
48,177.86
48.5,177.12
49,176.39
49.5,175.65
50,174.92
50.5,174.19
51,173.46
51.5,172.73
52,172
52.5,171.27
53,170.54
53.5,169.81
54,169.09
54.5,168.36
55,167.64
55.5,166.91
56,166.19
56.5,165.47
57,164.74
57.5,164.02
58,163.3
58.5,162.58
59,161.87
59.5,161.15
60,160.43
60.5,159.71
61,159
61.5,158.29
62,157.57
62.5,156.86
63,156.15
63.5,155.44
64,154.73
64.5,154.02
65,153.31
65.5,152.6
66,151.9
66.5,151.19
67,150.49
67.5,149.79
68,149.08
68.5,148.38
69,147.68
69.5,146.98
70,146.28
70.5,145.59
71,144.89
71.5,144.19
72,143.5
72.5,142.81
73,142.11
73.5,141.42
74,140.73
74.5,140.04
75,139.36
75.5,138.67
76,137.98
76.5,137.3
77,136.61
77.5,135.93
78,135.25
78.5,134.57
79,133.89
79.5,133.21
80,132.53
80.5,131.85
81,131.18
81.5,130.5
82,129.83
82.5,129.16
83,128.49
83.5,127.82
84,127.15
84.5,126.48
85,125.81
85.5,125.15
86,124.48
86.5,123.82
87,123.16
87.5,122.5
88,121.84
88.5,121.18
89,120.52
89.5,119.86
90,119.21
90.5,118.56
91,117.9
91.5,117.25
92,116.6
92.5,115.95
93,115.3
93.5,114.66
94,114.01
94.5,113.37
95,112.72
95.5,112.08
96,111.44
96.5,110.8
97,110.16
97.5,109.53
98,108.89
98.5,108.26
99,107.62
99.5,106.99
100,106.36
100.5,105.73
101,105.1
101.5,104.48
102,103.85
102.5,103.23
103,102.6
103.5,101.98
104,101.36
104.5,100.74
105,100.12
105.5,99.51
106,98.89
106.5,98.28
107,97.67
107.5,97.06
108,96.45
108.5,95.84
109,95.23
109.5,94.62
110,94.02
110.5,93.42
111,92.81
111.5,92.21
112,91.61
112.5,91.02
113,90.42
113.5,89.82
114,89.23
114.5,88.64
115,88.05
115.5,87.46
116,86.87
116.5,86.28
117,85.69
117.5,85.11
118,84.53
118.5,83.95
119,83.37
119.5,82.79
120,82.21
120.5,81.63
121,81.06
121.5,80.48
122,79.91
122.5,79.34
123,78.77
123.5,78.21
124,77.64
124.5,77.07
125,76.51
125.5,75.95
126,75.39
126.5,74.83
127,74.27
127.5,73.71
128,73.16
128.5,72.61
129,72.05
129.5,71.5
130,70.95
130.5,70.41
131,69.86
131.5,69.32
132,68.77
132.5,68.23
133,67.69
133.5,67.15
134,66.61
134.5,66.08
135,65.54
135.5,65.01
136,64.48
136.5,63.94
137,63.42
137.5,62.89
138,62.36
138.5,61.84
139,61.31
139.5,60.79
140,60.27
140.5,59.75
141,59.24
141.5,58.72
142,58.2
142.5,57.69
143,57.18
143.5,56.67
144,56.16
144.5,55.65
145,55.15
145.5,54.64
146,54.14
146.5,53.64
147,53.14
147.5,52.64
148,52.15
148.5,51.65
149,51.16
149.5,50.66
150,50.17
150.5,49.68
151,49.2
151.5,48.71
152,48.22
152.5,47.74
153,47.26
153.5,46.78
154,46.3
154.5,45.82
155,45.34
155.5,44.87
156,44.4
156.5,43.92
157,43.45
157.5,42.99
158,42.52
158.5,42.05
159,41.59
159.5,41.12
160,40.66
160.5,40.2
161,39.75
161.5,39.29
162,38.83
162.5,38.38
163,37.93
163.5,37.48
164,37.03
164.5,36.58
165,36.13
165.5,35.69
166,35.24
166.5,34.8
167,34.36
167.5,33.92
168,33.48
168.5,33.05
169,32.61
169.5,32.18
170,31.75
170.5,31.32
171,30.89
171.5,30.46
172,30.03
172.5,29.61
173,29.19
173.5,28.76
174,28.34
174.5,27.92
175,27.51
175.5,27.09
176,26.68
176.5,26.26
177,25.85
177.5,25.44
178,25.04
178.5,24.63
179,24.22
179.5,23.82
180,23.42
180.5,23.01
181,22.61
181.5,22.22
182,21.82
182.5,21.42
183,21.03
183.5,20.64
184,20.25
184.5,19.86
185,19.47
185.5,19.08
186,18.7
186.5,18.31
187,17.93
187.5,17.55
188,17.17
188.5,16.79
189,16.42
189.5,16.04
190,15.67
190.5,15.29
191,14.92
191.5,14.55
192,14.19
192.5,13.82
193,13.45
193.5,13.09
194,12.73
194.5,12.37
195,12.01
195.5,11.65
196,11.29
196.5,10.94
197,10.58
197.5,10.23
198,9.88
198.5,9.53
199,9.18
199.5,8.83
200,8.49
200.5,8.14
201,7.8
201.5,7.46
202,7.12
202.5,6.78
203,6.44
203.5,6.1
204,5.77
204.5,5.44
205,5.1
205.5,4.77
206,4.44
206.5,4.12
207,3.79
207.5,3.46
208,3.14
208.5,2.82
